Document;Precision;Recall;F-measure;
Document0;0.681818182;0.625;0.652173913;
Document1;0.454545455;0.5;0.476190476;
Document2;0.615384615;0.533333333;0.571428571;
Document3;0.590909091;0.464285714;0.52;
Document4;0.428571429;0.428571429;0.428571429;
Document5;0.583333333;0.583333333;0.583333333;
Document6;0.75;0.529411765;0.620689655;
Document7;0.461538462;0.375;0.413793103;
Document8;0.470588235;0.533333333;0.5;
Document9;0.625;0.555555556;0.588235294;
Document10;0.857142857;0.75;0.8;
Document11;0.636363636;0.538461538;0.583333333;
Document12;0.666666667;0.727272727;0.695652174;
Document13;0.777777778;0.689655172;0.731070496;
Document14;0.619047619;0.48;0.540727903;
Document15;0.833333333;0.769230769;0.8;
Document16;0.666666667;0.5;0.571428571;
Document17;0.666666667;0.666666667;0.666666667;
Document18;0.705882353;0.75;0.727272727;
Document19;0.818181818;0.642857143;0.72;
Document20;0.814814815;0.814814815;0.814814815;
Document21;0.75;0.8;0.774193548;
Document22;0.5625;0.5625;0.5625;
Document23;0.461538462;0.4;0.428571429;
Document24;0.6;0.4;0.48;
Document25;0.615384615;0.666666667;0.64;
Document26;0.5;0.5;0.5;
Document27;0.692307692;0.642857143;0.666666667;
Document28;0.65;0.541666667;0.590909091;
Document29;0.769230769;0.666666667;0.714285714;
Document30;0.636363636;0.538461538;0.583333333;
Document31;0.545454545;0.5;0.52173913;
Document32;0.666666667;0.666666667;0.666666667;
Document33;0.666666667;0.727272727;0.695652174;
Document34;0.454545455;0.454545455;0.454545455;
Document35;0.625;0.576923077;0.6;
Document36;0.705882353;0.666666667;0.685714286;
Document37;0.578947368;0.578947368;0.578947368;
Document38;0.857142857;0.666666667;0.75;
Document39;0.611111111;0.611111111;0.611111111;
;;max;0.814814815;Document20
;;min;0.413793103;Document7
;;avg;0.612755461;
